DISCIPLINA,CÓDIGO,TURMA,SALA,HORÁRIO
QUIMICA ANALITICA F,QUI208,TE,2009,3a,20:55 - 22:35,4a,19:00 - 19:50
QUIMICA ANALITICA F,QUI208,TO,1019,4a,13:00 - 14:40,6a,13:00 - 14:40
QUIMICA ANALITICA F,QUI208,TP,1019,4a,14:55 - 16:35,6a,14:55 - 16:35
QUIMICA ORGANICA II F,QUI209,TE,1017,3a,20:55 - 22:35,6a,19:00 - 20:40
QUIMICA ORGANICA II F,QUI209,TO,2300 - ENG. BLOCO 4,2a,14:55 - 16:35,4a,14:55 - 16:35
QUIMICA ORGANICA II F,QUI209,TP,2300 - ENG. BLOCO 4,2a,13:00 - 14:40,4a,13:00 - 14:40
QUIMICA AMBIENTAL C,QUI215,TF,1021,3a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA INORGANICA CII,QUI216,TF,124 - QUI,4a,19:00 - 20:40
INSTRUMENTACAO PARA O ENSINO DE QUIMICA CII,QUI217,TF,2071,3a,20:55 - 22:35,5a,19:00 - 20:40
METODOS FISICOS DE ANALISE II,QUI218,PA,2057,5a,07:30 - 09:10
METODOS FISICOS DE ANALISE II,QUI218,PB,2057,5a,09:25 - 11:05
METODOS FISICOS DE ANALISE II,QUI218,TB,2057,3a,09:25 - 11:05
ESPECTROSCOPIA,QUI219,TF,124 - QUI,3a,20:55 - 22:35,5a,19:50 - 22:35
TRABALHO DE CONCLUSAO DE CURSO I LICENCIATURA,QUI220,PE,2072,3a,19:00 - 20:40
ANALISE INSTRUMENTAL A,QUI221,PB,264 - QUI,4a,09:25 - 11:55
ANALISE INSTRUMENTAL A,QUI221,PF,Lab. QUI,6a,19:50 - 22:35
ANALISE INSTRUMENTAL A,QUI221,TC,2072,2a,10:15 - 11:55
ANALISE INSTRUMENTAL A,QUI221,TE,122 - QUI,4a,19:00 - 20:40
ANALISE INSTRUMENTAL B,QUI222,PF,1014,3a,19:00 - 20:40
ANALISE INSTRUMENTAL B,QUI222,PM,1019,2a,14:55 - 16:35
ANALISE INSTRUMENTAL B,QUI222,TF,1020,6a,19:00 - 19:50
ANALISE INSTRUMENTAL B,QUI222,TN,2071,2a,13:50 - 14:40
QUIMICA INORGANICA CIII,QUI223,TN,1017,3a,16:00 - 17:40,5a,16:00 - 17:40
TRABALHO DE CONCLUSAO DE CURSO I - BACHARELADO,QUI225,PN,2059,5a,19:50 - 21:30
QUIMICA DOS ALIMENTOS,QUI227,TM,2071,4a,13:00 - 16:35
CRIACAO DE EMPRESAS DE BASE TECNOLOGICA,QUI229,TN,2071,2a,14:55 - 16:35,5a,15:25 - 17:05
FILMES FINOS,QUI233,TM,264 - QUI,4a,13:30 - 15:10
QUIMICA BIOINORGANICA,QUI241,TM,2007,3a,13:30 - 15:10,5a,13:30 - 15:10
PREPARACAO E RECUPERACAO DE INSUMOS,QUI244,PN,Lab. QUI,4a,15:00 - 16:40,6a,15:00 - 16:40
NONOCIENCIA E NANOTECNOLOGIA,QUI245,TF,2006,3a,19:00 - 20:40,6a,19:00 - 20:40
QUIMICA ORGANICA AMBIENTAL,QUI253,TM,1022,4a,13:30 - 17:05
FUNDAMENTOS DE QUIMICA PARA ENGENHARIA,QUI259,TE,2071,3a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA ANALITICA I,QUI260,TA,2060,3a,07:30 - 09:10,5a,07:30 - 09:10
QUIMICA ORGANICA I,QUI261,TN,1018,3a,14:55 - 16:35,5a,14:55 - 16:35
SEGURANCA E TECNICAS BASICAS DE LABORATORIO,QUI266,P1,2072,5a,19:50 - 22:35
FISICO-QUIMICA EXPERIMENTAL CI,QUI267,PF,1020,3a,20:55 - 22:35
INTRODUCAO A QUIMICA INDUSTRIAL,QUI274,TN,2072,2a,16:40 - 18:20,4a,16:40 - 18:20
QUIMICA E PROCESSAMENTO DE PETROLEO,QUI277,TE,2007,3a,19:00 - 20:40,5a,19:00 - 20:40
TECNOLOGIA DE GESTAO DA QUALIDADE E DO MEIO AMBIENTE,QUI279,TF,2030,2a,19:00 - 20:40,4a,19:00 - 20:40
QUIMICA INORGANICA I,QUI601,TM,2059,3a,13:00 - 14:40,5a,13:00 - 14:40
QUIMICA INORGANICA I,QUI601,TN1,1024,3a,14:55 - 16:35,5a,14:55 - 16:35
QUIMICA INORGANICA I,QUI601,TN2,1011,3a,14:55 - 16:35,5a,14:55 - 16:35
FISICO-QUIMICA I,QUI602,TA1,1020,3a,07:30 - 09:10,5a,07:30 - 09:10
