DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
INTRODUCAO AOS SISTEMAS LOGICOS,DCC114,TZ,1024,2a,17:00 - 18:40,4a,17:00 - 18:40
FUNDAMENTOS DA TEORIA DA COMPUTACAO,DCC129,TN,1024,3a,16:40 - 18:20,5a,16:40 - 18:20
FUNDAMENTOS DA TEORIA DA COMPUTACAO,DCC129,TW,2013,3a,19:00 - 20:40,5a,19:00 - 20:40
ALGORITMOS PARA BIOINFORMATICA I,DCC186,TD2,2016,3a,11:10 - 12:50,5a,11:10 - 12:50
DESENVOLVIMENTO DE JOGOS DIGITAIS,DCC192,TD2,2008,2a,11:10 - 12:50,4a,11:10 - 12:50
INTERACAO HUMANO-COMPUTADOR,DCC194,TZ,2014,2a,17:00 - 18:40,4a,17:00 - 18:40
MODELAGEM DE PROCESSOS DE NEGOCIO,DCC196,TW1,2014,3a,17:00 - 18:40,5a,17:00 - 18:40
PROCESSAMENTO DIGITAL DE SOM E VIDEO,DCC197,TZ,2015,3a,17:00 - 18:40,5a,17:00 - 18:40
TEORIA DOS GRAFOS,DCC199,TB2,1022,2a,09:25 - 11:05,4a,09:25 - 11:05
ENGENHARIA DE SOFTWARE,DCC603,TA,2014,3a,07:30 - 09:10,5a,07:30 - 09:10
ENGENHARIA DE SOFTWARE,DCC603,TW,2015,2a,19:00 - 20:40,4a,19:00 - 20:40
SISTEMAS OPERACIONAIS,DCC605,TD,2014,3a,11:10 - 12:50,5a,11:10 - 12:50
SISTEMAS OPERACIONAIS,DCC605,TZ,2010,2a,17:00 - 18:40,4a,17:00 - 18:40
COMPUTADORES E SOCIEDADE,DCC606,TN,2013,3a,14:55 - 16:35,5a,14:55 - 16:35
COMPUTADORES E SOCIEDADE,DCC606,TW,2016,3a,19:00 - 20:40,5a,19:00 - 20:40
ADMINISTRACAO DA PRODUCAO,CAD004,TTK,1012,6a,17:00 - 20:40
ADMINISTRACAO,CAD011,TN,2013,2a,16:40 - 18:20,4a,16:40 - 18:20
ADMINISTRACAO TGA,CAD103,TA,2007,2a,07:30 - 09:10,4a,07:30 - 09:10
ADMINISTRACAO TGA,CAD103,TF,1011,2a,19:00 - 20:40,4a,19:00 - 20:40
ADMINISTRACAO DE CUSTOS,CAD153,TTG,1014,6a,17:00 - 20:40
ADMINISTRACAO DE RECURSOS HUMANOS,CAD163,TH,1024,6a,17:00 - 20:40
ADMINISTRACAO MERCADOLOGICA,CAD164,TI,1021,2a,19:00 - 20:40,4a,19:00 - 20:40
ADMINISTRACAO FINANCEIRA,CAD167,TJ,2013,6a,17:00 - 20:40
